Numéro de donnée	Utilisateur	AccX	AccY	AccZ	GyroX	GyroY	GyroZ
39314	10	22	168	1846	65224	127	42
39315	10	23	164	1844	65222	125	43
39316	10	22	168	1841	65223	121	43
39317	10	22	169	1843	65221	124	42
39318	10	22	165	1843	65221	121	41
39319	10	23	166	1842	65225	120	40
39320	10	24	169	1841	65225	122	37
39321	10	21	166	1838	65227	126	38
39322	10	21	166	1841	65221	121	40
39323	10	23	167	1845	65224	124	43
39324	10	24	167	1844	65222	125	45
39325	10	21	167	1843	65223	123	43
39326	10	22	165	1843	65223	119	40
39327	10	23	165	1844	65224	123	40
39328	10	21	165	1841	65224	128	47
39329	10	21	167	1845	65222	124	43
39330	10	23	167	1837	65225	121	39
39331	10	22	166	1841	65224	128	41
39332	10	20	169	1840	65223	119	42
39333	10	22	169	1843	65223	116	42
39334	10	22	165	1842	65221	116	39
39335	10	25	169	1840	65223	119	42
39336	10	21	167	1846	65224	118	40
39337	10	22	165	1840	65227	122	40
39338	10	23	166	1843	65224	125	41
39339	10	23	167	1841	65224	119	41
39340	10	21	166	1842	65226	119	43
39341	10	22	168	1839	65218	118	38
39342	10	20	165	1838	65226	124	44
39343	10	26	168	1838	65226	121	47
39344	10	20	166	1841	65225	115	47
39345	10	23	168	1843	65221	122	44
39346	10	53	6680	1851	65155	55638	63182
39347	10	42565	3491	1826	64601	29657	38209
39348	10	9865	148	1839	64243	352	65243
39349	10	32768	83	1862	60889	591	65218
39350	10	45870	65090	1801	62804	203	65386
39351	10	52425	65060	1801	63630	153	62198
39352	10	39318	65014	1786	64081	147	65468
39353	10	52422	65004	1784	64654	139	45853
39354	10	32767	65212	1828	3874	105	36032
39355	10	36043	65296	1833	3631	106	16398
39356	10	36043	65406	1851	4000	68	86
39357	10	45870	65473	1848	1879	74	91
39358	10	3290	176	1847	929	65274	184
39359	10	25	188	1826	32955	39230	145
39360	10	3300	194	1827	65290	3379	118
39361	10	9847	3486	1832	64240	3447	241
39362	10	24	165	1845	65245	109	45
39363	10	23	170	1845	65279	103	83
39364	10	25	172	1844	65230	130	203
39365	10	23	166	1840	65227	117	108
39366	10	23	174	1836	64979	247	101
39367	10	24	165	1844	65116	151	89
39368	10	22	167	1843	65204	125	115
39369	10	25	165	1841	65213	122	73
39370	10	25	216	1835	660	187	16405
39371	10	3297	244	1846	1359	262	58827
39372	10	20	284	1825	2002	321	35988
39373	10	9843	336	1850	2650	225	16417
39374	10	10	553	1776	45808	114	26227
39375	10	13115	563	1755	29515	114	16397
39376	10	9842	563	1763	65107	109	9870
39377	10	6562	565	1756	65206	115	40
39378	10	9841	490	1782	63236	9866	49082
39379	10	6569	433	1801	62421	49136	65339
39380	10	15	393	1809	63246	50	42570
39381	10	18	332	1830	62611	19685	62214
39382	10	27	176	1843	65130	126	39276
39383	10	25	170	1844	65191	112	60
39384	10	27	170	1845	65221	123	37
39385	10	29	171	1842	65243	112	41
39386	10	22	208	1828	16507	104	65277
39387	10	25	192	1835	65064	131	252
39388	10	26	184	1834	65031	174	302
39389	10	16396	212	1839	64815	298	632
39390	10	24	171	1840	65224	121	41
39391	10	25	169	1841	65223	122	40
39392	10	24	172	1840	65226	120	37
39393	10	24	169	1839	65221	127	38
39394	10	23	169	1845	65221	125	41
39395	10	25	169	1841	65224	126	45
39396	10	24	169	1843	65223	130	42
39397	10	23	170	1841	65222	124	45
39398	10	23	168	1838	65224	125	40
39399	10	24	165	1836	65220	120	43
39400	10	23	168	1840	65222	116	43
39401	10	23	167	1842	65223	126	46
39402	10	22	170	1839	65225	123	44
39403	10	22	168	1839	65223	119	39
39404	10	24	168	1841	65222	128	39
39405	10	25	166	1846	65223	119	41
